peak_utc,peak_counts,class_like
2024-05-16 02:51:40,28.2,B/A
2024-05-16 02:54:34,29.3,B/A
2024-05-16 02:57:45,31.6,B/A
2024-05-16 03:00:03,37.3,B/A
2024-05-16 03:02:10,31.8,B/A
2024-05-16 03:07:03,29.7,B/A
2024-05-16 03:10:09,27.6,B/A
2024-05-16 03:12:16,28.1,B/A
2024-05-16 03:14:43,30.1,B/A
2024-05-16 03:17:06,27.0,B/A
2024-05-16 03:19:27,28.6,B/A
2024-05-16 03:21:34,27.5,B/A
2024-05-16 03:24:23,30.5,B/A
2024-05-16 03:26:29,28.0,B/A
2024-05-16 03:28:56,28.0,B/A
2024-05-16 03:31:20,30.5,B/A
2024-05-16 03:33:49,28.2,B/A
2024-05-16 03:35:58,29.5,B/A
2024-05-16 03:38:22,28.9,B/A
2024-05-16 03:40:36,28.7,B/A
2024-05-16 03:43:35,29.1,B/A
2024-05-16 03:46:55,28.5,B/A
2024-05-16 03:49:31,27.3,B/A
2024-05-16 03:52:08,28.5,B/A
2024-05-16 03:54:25,30.2,B/A
2024-05-16 03:56:34,28.2,B/A
2024-05-16 03:58:42,31.2,B/A
2024-05-16 04:00:47,28.0,B/A
2024-05-16 04:04:25,31.0,B/A
2024-05-16 04:06:39,30.1,B/A
2024-05-16 04:09:58,30.8,B/A
2024-05-16 04:12:04,27.7,B/A
2024-05-16 04:14:43,27.8,B/A
2024-05-16 04:17:52,28.5,B/A
2024-05-16 04:20:00,30.0,B/A
2024-05-16 04:22:02,28.9,B/A
2024-05-16 04:24:04,30.4,B/A
2024-05-16 04:26:22,28.9,B/A
2024-05-16 04:30:19,28.7,B/A
2024-05-16 04:33:22,27.6,B/A
2024-05-16 04:35:59,28.8,B/A
2024-05-16 04:38:00,29.0,B/A
2024-05-16 04:41:13,28.4,B/A
2024-05-16 04:43:34,28.7,B/A
